影院名称,国家编码,在系统商的编码,系统商
义乌时代电影大世界,33091801,33091801,HuoFengHuang2
诸暨太平洋国际影城,33051301,20003983,DingXin
舟山影城,33100401,33100401,HuoFengHuang2
九江时代电影大世界,36041501,36041501,HuoFengHuang2
洲泉银河电影城,33032101,33032101,HuoFengHuang2
嘉兴华庭国际影城,33030401,33030401,HuoFengHuang2
深圳横店电影城,44018001,,DingXin
横店电影城（东莞店）,44102401,20002725,DingXin
佛山九鼎横店电影城,44134301,20002713,DingXin
天津横店电影城(麦购店),12013801,20002663,DingXin
横店电影城（天津瑞景店）,12131501,20002662,DingXin
横店电影城（青岛中山路店）,37035001,20002674,DingXin
横店影视电影城(李沧店),37035301,20002679,DingXin
上海普陀横店影城,31051301,20002667,DingXin
广州横店影城,44007901,,DingXin
洛阳横店影城,41031801,20002666,DingXin
横店电影城（太原同至人店）,14011301,,DingXin
横店电影城（太原王府井店）,14010901,,DingXin
横店电影城（太原贵都店）,14011401,,DingXin
横店电影城（北京王府井店）,11014501,,DingXin
武汉横店电影城(武昌店),42071801,,DingXin
横店电影城（武汉王府井店）,42170301,20002676,DingXin
成都横店影视电影城,51019001,,DingXin
横店电影城（南京水游城店）,32011701,,DingXin
横店电影城（蚌埠宝龙广场店）,34030501,,DingXin
海宁横店电影城,33032201,20002698,DingXin
嘉兴横店电影城,33032701,,DingXin
诸暨大唐横店电影城,33052301,20002613,DingXin
衢州横店电影城,33111701,,DingXin
横店电影城（富阳店）,33014001,20002733,DingXin
横店电影城(金华店),33091401,20002684,DingXin
上海宝山横店电影城,31193701,,DingXin
嘉定横店电影城,31182901,20002839,DingXin
河津横店电影城,14081301,20002642,DingXin
横店电影城（重庆南岸店）,50080401,,DingXin
横店电影城（重庆煌华店）,50060501,,DingXin
横店电影城（丰都店）,50300101,,DingXin
重庆长寿横店电影城,50150301,20002655,DingXin
梁平横店电影城,50280101,,DingXin
重庆涪陵横店影城,50020601,,DingXin
潼南横店电影城,50230301,,DingXin
横店电影城（南京沿江店）,32012401,,DingXin
横店电影城(盐城宝龙店),32082101,20002712,DingXin
盐城先锋岛横店电影城,32082001,20002710,DingXin
镇江横店电影城,32052101,,DingXin
丹徒横店电影城,32052301,,DingXin
