影院名称,国家编码,在系统商的编码,系统商
SFC上影（上海新世界店）,31011501,,HuoFengHuang2
SFC上影（世博店）,31124501,,HuoFengHuang2
SFC上影（喜玛拉雅店）,31125001,,HuoFengHuang2
SFC上影（永华店）,31073101,,HuoFengHuang2
SFC上影（美罗店）,31070901,31070901,HuoFengHuang2
SFC上影（南桥百联店）,31142101,,HuoFengHuang2
常州耀莱成龙国际影城（武进店）,32041501,20002873,DingXin
西安耀莱成龙国际影城（曲江店）,61012801,20002954,DingXin
沈阳耀莱成龙国际影城（三好街店）,21014301,20002872,DingXin
左岸国际影城(合肥店),34011001,34011001,HuoFengHuang
天津耀莱成龙国际影城（友谊路店）,12034901,20002794,DingXin
SFC上影（江桥店）,31182501,,HuoFengHuang2
上海美亚影城,31182601,20002760,DingXin
北京耀莱成龙国际影城（马连道店）,11026801,20002773,DingXin
北京耀莱成龙国际影城（五棵松店）,11064201,20002772,DingXin
上海比高电影城（南翔店）,31181901,20002988,DingXin
越界影城两江店,50121101,20002714,DingXin
越界影城北碚店,50090701,20002715,DingXin
越界影城巫山店,50370101,20002716,DingXin
左岸国际影城(天津店),12030501,12030501,HuoFengHuang
越界影城永川店,50180301,20002775,DingXin
合肥合肥耀莱成龙国际影城（蒙城路）,34013601,20002955,DingXin
嘉兴UME国际影城,33032401,,HuoFengHuang
杭州UME国际影城,33012501,,HuoFengHuang2
南通UME国际影城,32102601,,HuoFengHuang2
UME国际影城(玄武门店),32012801,,HuoFengHuang2
SFC上影（杭州临平店）,33013401,,DingXin
临安比高电影城,33014601,20003028,DingXin
天津耀莱成龙国际影城（东丽店）,12105301,20002794,DingXin
成都耀莱成龙国际影城（空港店）,51013701,20002814,DingXin
北京耀莱成龙国际影城（慈云寺店）,11055101,20002973,DingXin
华谊兄弟合肥活力店,34015001,34015001,DingXin
大明宫IMAX影院,61012301,61012301,HuoFengHuang2
郑州耀莱成龙国际影城（锦艺店）,41013601,20002801,DingXin
郑州耀莱成龙国际影城（建业店）,41013401,20002800,DingXin
黄冈耀莱成龙国际影城（黄州店）,42062101,20002849,DingXin
洛阳耀莱成龙国际影城（中州中路店）,41032501,20002798,DingXin
烟台耀莱成龙国际影城（牟平店）,37053801,20002980,DingXin
昆明耀莱成龙国际影城（白塔路店）,53012901,20002978,DingXin
上海太禾影院,31113901,,DingXin
大理海上国际影城,53290801,53290801,HuoFengHuang2
淮安耀莱成龙国际影城（翔宇南道店）,32092011,20003072,DingXin
扬州华昕影院,32062201,20002816,DingXin
西安华昕影院（原西安华大影院）,61012701,20002600,DingXin
诸暨上影国际影城,33068001,,HuoFengHuang2
东莞光大比高电影城,44103901,20003026,DingXin
沈阳比高电影城,21015001,20003029,DingXin
安庆比高电影城,34081501,20003023,DingXin
江阴比高电影城,32034701,32034701,HuoFengHuang2
杭州比高电影城（大河店）,33014501,20003024,DingXin
郑州比高电影城,41014701,20003139,DingXin
新化比高电影院,43091301,20002989,DingXin
石狮左岸电影城,35050901,35050901,HuoFengHuang
左岸国际影城(娄底店),43090701,43090701,HuoFengHuang
左岸国际影城(延边店),22030501,22030501,HuoFengHuang
左岸国际影城(湘潭店),43030301,43030301,HuoFengHuang
中山比高电影城,44111801,20003025,DingXin
上海耀莱成龙国际影城（金沙江路店）,31051501,20003099,DingXin
喜满客昆明影城－4K巨幕,53013201,,DingXin
福州万达影城（世茂店）,35012001,,HuoFengHuang2
SFC上影（黄山店）,34170301,,DingXin
SFC上影（昆明永华店）,53010801,,HuoFengHuang
SFC上影（宁波世纪东方店）,33041901,,HuoFengHuang
SFC上影（南京店）,32011501,,DingXin
南京海上国际影城虹悦城店,32014301,,DingXin
SFC上影（湛江金沙湾店）,44151601,,HuoFengHuang
上海UME国际影城宝山店,31193901,,HuoFengHuang2
SFC上影（科华店）,51018001,,DingXin
UME新天地国际影城,31021201,,HuoFengHuang2
三林大光明DFC影城,31125601,,HuoFengHuang2
上海翰金影城,31126801,20003156,DingXin
鲁信影城泰安银泰中心店,37100601,37100601,ChenXing
鲁信影城(体育中心店),37022001,37022001,ChenXing
鲁信影城泺源大街店,37022401,37022401,ChenXing
鲁信影城(家乐福店),37022101,37022101,ChenXing
鲁信影城济南和谐广场店,37022201,37022201,ChenXing
鲁信银座影城商河店,37022701,37022701,ChenXing
鲁信影城(聊城店),37180101,37180101,ChenXing
鲁信影城(莱芜店),37170101,37170101,ChenXing
莱芜鲁信影城钢城店,37170401,37170401,ChenXing
鲁信影城（德州店）,37130901,37130901,ChenXing
鲁信影城(烟台振华店),37052601,,
鲁信影城烟台银座商城店,37054101,37054101,ChenXing
鲁信银座影城寿光店,37063601,37063601,ChenXing
银座鲁信影城临沂和谐广场店,37081601,37081601,ChenXing
新世纪电影城(玉函店),37011101,20002971,DingXin
新世纪电影城(阳光100店),37011201,20002965,DingXin
新世纪电影城(嘉华店),37010101,20002966,DingXin
新世纪电影城(泉城路店),37010801,20002967,DingXin
新世纪电影城(洪楼店),37011001,20002969,DingXin
新世纪电影城赛博店,37011501,20002968,DingXin
新世纪电影城(燕山银座店),37011601,20002970,DingXin
西海岸影城家佳源店,37030701,20003059,DingXin
西海岸影城万利店,37037001,20003060,DingXin
西海岸影城胶州店,37034101,20003061,DingXin
西海岸影城宏程店,37037011,20003109,DingXin
搜秀国际影城中启广场店,15040601,,DingXin
银座星际电影城,37150801,,Flamingo
东营齐纳国际影城（垦利店）,37121701,20003006,DingXin
盘锦大商影城,21130401,,DingXin
周村齐纳国际影城(原周村全球通电影城）,37041001,20002997,DingXin
淄博齐纳国际影城(柳泉路店）,37040101,20002998,DingXin
淄川齐纳国际影城(原淄川全球通电影城）,37040501,20003002,DingXin
张店齐纳国际影城(永旺店）,37041101,20003001,DingXin
吉林大商影城,22021301,,DingXin
大连大商影城新玛特店,21020401,,DingXin
大商影城(乘风店),23060111,,DingXin
瑞莱克斯影院,21120101,21120101,ManTianXing
中影齐纳国际影城(银泰城店）,37047011,20003068,DingXin
临淄齐纳国际影城,37042001,20003000,DingXin
博山齐纳国际影城(原博山全球通电影城）,37041201,20002995,DingXin
桓台齐纳国际影城,37040801,20002999,DingXin
周村齐纳国际影城桃园店,37041701,20002996,DingXin
博兴齐纳国际影城,37151201,20003005,DingXin
大商影城朝阳店,21120501,,DingXin
大商影城沈阳于洪店,21015601,,DingXin
大商新玛特影城（新村店）,23052801,,DingXin
大商影城沈阳千盛店,21014901,,DingXin
齐都电影城,37040901,,ManTianXing
五州巨幕影城,61030501,61030501,ManTianXing
晋城影剧院,14050202,,ManTianXing
鄂尔多斯海润原发影城,15030203,15030203,ManTianXing
南京中影国际影城（河西店）,32012201,,ManTianXing
中影国际影城南京雨花台南站店,32013901,,Flamingo
新华国际影城(宝盛店),11069801,,HuoFengHuang2
新华国际影城(大钟寺店),11068801,11068801,HuoFengHuang2
北京新华国际影城（大兴店）,11082801,11082801,HuoFengHuang2
济南百丽宫影城恒隆广场店,37022301,20000701,DingXin
华夏星光国际影城,44220701,,HuoFengHuang2
卢米埃盛泽财富中心影城,32025001,,VISTA
华隶影城,13023201,,HuoFengHuang2
上饶广丰华夏国际影城,36110401,,ManTianXing
成都耀莱成龙国际影城（总府店）,51014601,,DingXin
华夏国际影城（后湖新生活摩尔城店）,42017101,42017101,HuoFengHuang2
影立方773IMAX,51019701,51019701,HuoFengHuang2
影立方城南优品道店,51013801,51013801,HuoFengHuang2
影立方重庆沙坪坝店,50061201,50061201,HuoFengHuang2
华美影城,21023401,21023401,ManTianXing
华夏丰尚国际影城,31113801,20003810,DingXin
临高澜江时代凤凰影城,46100101,,ManTianXing
星星国际影城岳阳东茅岭店,43061001,43061001,ChenXing
邯郸时代凤凰影城,13104701,20003610,DingXin
博纳银兴国际影城,31051001,,HuoFengHuang2
新华银兴国际影城(深圳店),44220601,20002500,DingXin
唐山百老汇影城远洋城店,13050501,20002627,DingXin
银兴乐天影城(江夏店),42011901,,HuoFengHuang2
武汉百老汇影城亚贸兴汇店,42010901,20000703,DingXin
银兴菲林影城福客茂店,42014601,42014601,HuoFengHuang2
昆明环银国际电影城,53011201,,DingXin
合肥百老汇影城欢乐颂店,34014001,20002763,DingXin
银兴菲林国际影城,31182801,,HuoFengHuang2
磁湖梦影城,42020501,,ManTianXing
武汉百老汇影城汉阳人信汇店,42174101,20002945,DingXin
武汉百老汇影城天汇店,42016301,20000702,DingXin
郸城县奥斯卡新视界影城,41161101,,Flamingo
乌鲁木齐奥斯卡友好影城,65010303,,中鑫汇科
北戴河影谷影城,13351601,,DingXin
金太狼国际影城,13014601,13014601,Flamingo
华彩国际影城(宁晋店）,13092401,,DingXin
金逸院线汇赢影城,44211101,,ManTianXing
平凉崆峒数字影城,62060101,,DingXin
金逸影城（中铁西城IMAX店）,51010121,1102,VISTA
东方红影城,62010201,,ManTianXing
庆阳奥斯卡首映影城,62040101,20002802,DingXin
上海巨影国际影城吴中路店,31073401,20003239,DingXin
大地影院-中山三乡顺昌广场,44110701,,VISTA
苏州天幕国际影城,32022401,,中鑫汇科
碧园国际影城,52011601,20003633,DingXin
云南玉溪印象影城,53040501,20002787,DingXin
K酷国际影城,11058301,11058301,ChenXing
绵阳中环电影城,51028201,51028201,ChenXing
绵阳中环三台百乐影城,51028301,51028301,ChenXing
遂宁中环影城,51168101,51168101,ChenXing
绵阳科技馆中环影城,51028401,51028401,ChenXing
今世界影城兴隆大奥莱店,21016101,21016101,ChenXing
十堰银河国际影城,42092101,42092101,ChenXing
惠州大亚湾世纪影城,44082901,,DingXin
南安菲林巨幕影城,35051502,,ManTianXing
金马影城,35040701,,ManTianXing
首都电影院（西单店）,11021201,11021201,HuoFengHuang2
首都电影院(金融街店),11028801,11028801,HuoFengHuang2
北京百老汇影城apm购物中心店,11010101,20000709,DingXin
北京百老汇影城东方广场店,11010301,20000708,DingXin
北京百丽宫影城金宝汇店,11011101,20000710,DingXin
北京百老汇影城国瑞购物中心店,11040501,20000707,DingXin
北京百老汇电影中心,11011001,20000711,DingXin
新影联·华谊兄弟影院,11059401,,DingXin
博纳国际影城万寿路店,11069901,,HuoFengHuang2
北京百丽宫影城国贸店,11056801,20000712,DingXin
卢米埃北京芳草地影城,11055501,,VISTA
美嘉欢乐影城三里屯店,11062001,20003920,DingXin
美嘉欢乐影城中关村店,11061501,20003926,DingXin
鲁信影城北京立水桥店,11058701,11058701,ChenXing
北京地质礼堂,11020603,,DingXin
嘉华国际影城(学清路店),11066701,11066701,HuoFengHuang2
华谊兄弟影院洋桥店,11073601,,DingXin
嘉华国际影院(姚家园店),11059801,,HuoFengHuang2
山西剧院,14010302,,ManTianXing
北京活力天宝国际影城,11057301,11057301,HuoFengHuang2
首都电影院(昌平店),11082101,11082101,HuoFengHuang2
首都电影院中华店,11030201,11030201,HuoFengHuang2
珠影耳东传奇影城,11051801,20000301,HuoFengHuang2
美嘉欢乐影城（沈阳万象城店）,21014501,20003927,DingXin
深圳百老汇影城cocopark店,44013901,20002633,DingXin
中影乐达新城店,37097011,37097011,HuoFengHuang2
潍坊百老汇影城谷德广场店,37063401,20000705,DingXin
枣庄乐达国际影城（银座店）,37091301,37091301,HuoFengHuang2
颍上帕加尼国际影城,34100701,,ManTianXing
临汾时代华纳国际影城,14070901,14070901,HuoFengHuang2
响水亚邦影城,32081601,,ManTianXing
SFC上影（宝山店）,31193801,,HuoFengHuang
SFC上影（南桥新都汇店）,31142301,,HuoFengHuang
SFC上影（西南店）,31073201,,HuoFengHuang
SFC上影（上海影城店）,31081501,,HuoFengHuang
SFC上影（辽宁新玛特店）,21010801,,HuoFengHuang
卢米埃杭州银泰影城,33013501,,VISTA
卢米埃影城（南京绿地店）,32012701,,VISTA
卢米埃国际影城(弘阳店),32012901,,VISTA
卢米埃影城（来福士店）,51019501,,VISTA
卢米埃影城（魅力城店）,51014101,,VISTA
卢米埃影城（龙湖店）,51014201,,VISTA
卢米埃(新亚影城),32090601,,VISTA
卢米埃西安凯德影城,61013101,,VISTA
卢米埃影城(沈阳天地店),21016301,,VISTA
卢米埃北滨影城,50050301,,VISTA
星星国际影城(天门新城店),42120201,42120201,ChenXing
星星国际影城（厚街店）,44105701,44105701,ChenXing
星星国际影城(广西南宁店),45010351,45010351,ChenXing
星星国际影城东莞松山湖店,44105201,44105201,ChenXing
星星国际影城东莞塘厦店,44106501,44106501,ChenXing
洛阳开元万达电影城,41032701,,HuoFengHuang2
上海万达国际影城(虹桥店）,31082101,,HuoFengHuang2
万达世茂广场店沧浪分店,32023301,,HuoFengHuang2
万达世茂广场店,32026701,,HuoFengHuang2
贵阳瑞金万达国际影城,52012101,,DingXin
北京世茂国际影城,11060561,,HuoFengHuang2
南昌万达影城（世茂广场店）,36012501,,DingXin
重庆江安万达电影城,50051001,50051001,HuoFengHuang2
完美世界影城九龙店（原17.5影城）,53050401,53050401,HuoFengHuang2
白山完美世界影城银座店（原17.5影城）,22090401,22090401,HuoFengHuang2
佛山完美世界影城盐步店（原17.5影城）,44134001,44134001,HuoFengHuang2
玉林好声音金逸影城,45061201,,ManTianXing
左岸国际影城(松江店),31163001,31163001,HuoFengHuang
广州思哲国际影城,44211301,44211301,HuoFengHuang2
昆山万达影城（世茂广场店）,32023501,,HuoFengHuang2
上海万达国际影城(松江文诚路店),31163301,,HuoFengHuang2
济南万达影城世茂广场店,37023201,,DingXin
昆明正义万达电影城（原世茂影城）,53012301,,DingXin
佛山17.5影城盐步店-,,,HuoFengHuang2
嘉星影城(学府店),23010311,23010311,HuoFengHuang2
青州新世纪电影城,37062601,,DingXin
威海新世纪电影城,37110201,,DingXin
声屏世纪影城,32101701,,HuoFengHuang2
左岸国际影城(海阳店),37054001,37054001,HuoFengHuang
潍坊新世纪阳光壹佰电影城,37067001,,DingXin
SFC上影（成都龙湖店）,51010111,,DingXin
华龙国际影城,14050701,20003470,DingXin
重庆金太狼影城,50260031,50260031,HuoFengHuang2
云南宣威横店电影城,53031001,,DingXin
桐城中业国际影城,34081001,,中鑫汇科
保利国际影城成都复城店,51010141,20003151,DingXin
南京耀莱成龙国际影城（板桥店）,32016211,20003183,DingXin
开平华夏巨幕影城,44122401,44122401,HuoFengHuang2
银兴菲林群星城店,42017801,42017801,HuoFengHuang2
合肥长丰影城,34014901,20003022,DingXin
上海万达国际影城(金桥店）,31125101,,HuoFengHuang2
华夏君盛影城南山店,44011021,,DingXin
赣州嘉福国际影城,36072201,36072201,ManTianXing
卢米埃影城南京新街口金鹰店,32016111,,VISTA
酒泉飞天数字影院,62140101,,ChenXing
中影佰纳国际影城花都店,44001041,44001041,HuoFengHuang2
烟台世茂时尚欢乐影城,37052101,,HuoFengHuang2
五家渠中数丽润影城,65900402,65900402,HuoFengHuang2
惠州菲尔姆国际影城,44082801,,Flamingo
长沙银星时尚国际影城,43011001,,ManTianXing
长沙亿鑫影城麓山店,43013401,,ManTianXing
包头九峰影院,15020105,,ManTianXing
西安横店影城中贸店,61014501,,DingXin
长浩电影城,43081501,,ManTianXing
北京红星太平洋电影城,11059601,20002834,DingXin
太平洋影城（西昌店）,51180101,,DingXin
左岸国际影城(上海金汇店),31112701,31112701,HuoFengHuang
越界影城郫县店,51018601,20002776,DingXin
昆山万达影城（前进路店）,32024201,,HuoFengHuang2
越界影城南川店,50010111,20002987,DingXin
越界影城IMAX大学城店,50060111,20003243,DingXin
南通万达影城（新东路店）,32104011,,HuoFengHuang2
杭州嘉富世纪影城,33016201,33016201,ManTianXing
越界思哲IMAX,44106401,20003949,DingXin
天津金逸影城武清店,暂无编码555,,
重庆百丽宫影城万象城店,50070081,20003140,DingXin
重庆UME影城（大足店）,50250021,50250021,HuoFengHuang2
烟台新世纪电影城百盛店,37050101,,DingXin
金逸天津武清店,12140631,1042,VISTA
宁波百老汇影城印象城店,33044601,20002630,DingXin
昆明红星太平洋影城,53014301,20003185,DingXin
腾冲华夏影城,53050601,,ManTianXing
濮阳义乌国际影城,41091701,,DingXin
南京耀莱成龙国际影城（江宁店）,32016411,20003403,DingXin
北京耀莱成龙国际影城（王府井店）,11010661,20003209,DingXin
横店电影城（张家口宣化店）,13032801,,DingXin
蚌埠耀莱成龙国际影城（学府店）,34031201,20003187,DingXin
保利国际影城上海江川店,31114201,20003160,DingXin
济南耀莱成龙国际影城（领秀城店）,37027041,20003211,DingXin
金逸北京荟聚IMAX店,11140631,1025,VISTA
横店云南文山店,53260701,20003124,DingXin
银兴菲林佰港城店,42018301,42018301,HuoFengHuang2
保利国际影城佛山兆阳店,44136001,20003186,DingXin
合肥中传国际影城,34015201,,DingXin
金逸影城重庆渝北华辰店,50120131,,VISTA
郑州奥斯卡高新影城,41014501,41014501,HuoFengHuang2
星美国际影城（南宁新世界店）,45012901,20002650,DingXin
柳州文化艺术中心电影大世界,45020502,,HuoFengHuang2
莆田华彩中兴影城,35043931,,Flamingo
梧州横店电影城,45040151,20003190,DingXin
湖口开源国际影城,36041201,,ChenXing
莱茵时代影院,51067501,20003008,DingXin
星河国际丰城影城,36090221,36090221,ManTianXing
福州横店影城,35013101,,DingXin
柳州市柳北区天空影城,45020141,,HuoFengHuang2
成都华昕影院,51010181,20003206,DingXin
横店电影城石家庄天山海世界店,13015501,,DingXin
横店电影城（张家口店）,13032901,20003181,DingXin
横店电影城（连云港店）,32111411,,DingXin
横店电影城（丽水云和店）,33082101,,DingXin
潇湘上河国际影城,43012701,,ManTianXing
长沙潇湘大乐影城（涉外西门店）,43014801,43014801,ManTianXing
星美国际影城（耒阳店）,43040501,,HuoFengHuang2
新化新大地影城,43091201,,ManTianXing
哈尔滨泰莱时代影城,23011011,23011011,HuoFengHuang2
慈溪沃美影城,33045901,1011,VISTA
焦作横店影城,41082001,,DingXin
自贡恒大影院,51048901,51048901,HuoFengHuang
东乡天幕国际影城,36100901,,DingXin
昆明M&M国际影城,53014601,,DingXin
北京耀莱成龙国际影城（西红门店）,11140651,20003204,DingXin
利川传媒影城,42111401,,ManTianXing
卢米埃绍兴银泰城IMAX影城,33053001,,VISTA
米高梅国际影城(黄埠店),44083001,44083001,HuoFengHuang2
金谊华夏影城,31126301,20003819,DingXin
大上海电影院,31011601,31011601,HuoFengHuang2
横店电影城(淮南东方店),34040701,20003217,DingXin
遵义盛凰影城,52020601,,ManTianXing
杭州金逸天虹店,33018501,1054,VISTA
新东北沈阳中兴店,21010301,,ManTianXing
新东北沈阳百联店,21011601,,
光陆影城,21010201,,ManTianXing
新东北葫芦岛宏运店,21140101,,ManTianXing
新东北齐齐哈尔新玛特店,23022301,,ManTianXing
新东北影城燕郊店,13061801,,ManTianXing
新东北影城盘锦店,21130501,,ManTianXing
新东北海拉尔龙凤新天地店,15100105,,ManTianXing
奥斯卡新世界电影城,41111501,,中鑫汇科
利津齐纳国际影城,37127051,20003212,DingXin
安丘齐纳国际影城,37067051,20003199,DingXin
潍坊齐纳国际影城,37067061,20003268,DingXin
江都时代影城,32061201,32061201,ManTianXing
吉视影城(二道长新欧亚店),22113201,,中鑫汇科
吉视影城(净月迅驰广场店),22113301,,中鑫汇科
熙旺影城(门头沟店),11100591,11100591,HuoFengHuang2
卢米埃顺德影城,44136201,,VISTA
淮北恒大影城,34120601,34120601,HuoFengHuang
奥威国际影城,15070103,,ManTianXing
万画影城合川店,50170061,,HuoFengHuang2
金逸扬州明发店,32062711,,VISTA
无锡百丽宫影城苏宁广场店,32034601,20002781,DingXin
合肥恒大影城,34015601,34015601,HuoFengHuang
阳江红毯影院,44140801,44140801,HuoFengHuang2
长春耀莱成龙国际影城（湖西路店）,22113601,20003262,DingXin
蒙自横店影城,53251101,20003267,DingXin
剧角影城4D店,42120501,42120501,HuoFengHuang2
剧角影城中国巨幕店,42120701,42120701,HuoFengHuang2
双楠电影城,51016801,51016801,ManTianXing
万福电影大世界,33091601,33091601,HuoFengHuang2
鼎龙达国际电影城,50051011,,DingXin
智新影院灯塔店,21100801,,中鑫汇科
博纳大连亿合城店,21020481,21020481,HuoFengHuang2
浙江金华时代国际影城,33092801,33092801,HuoFengHuang2
常山金马国际影城,33111601,33111601,HuoFengHuang2
大连米高梅国际影城（高新店）,20003271,20003271,DingXin
珠海环球时代影城（吉大店）,44021701,44021701,HuoFengHuang2
广东阳西横店电影城,44141401,20003272,DingXin
春天国际影城襄阳拉美店,42101401,,ManTianXing
万画影城歇马店,50090051,,HuoFengHuang2
清华大学大礼堂,00000002,,OneNineZeroFive
北京语言大学大礼堂,#VALUE!,,OneNineZeroFive
北京第二外国语学院竟先厅,#VALUE!,,OneNineZeroFive
中央民族大学大礼堂,中央民族大学,,OneNineZeroFive
北京师范大学学生活动中心,#VALUE!,,
智慧影院北京店,#VALUE!,0000000102,VISTA
岳池银都电影城,51120102,20003952,DingXin
营山华夏电影城,51090601,51090601,ManTianXing
星星国际影城台州锦屏新天地店,33064001,33064001,ChenXing
工人文化活动中心（一宫）,14020102,,ManTianXing
工人文化活动中心（二宫）,14020203,,ManTianXing
常州红星大剧院,32040202,32040202,Flamingo
佳映IMAX影城（杭州五洲店）,33019101,33019101,HuoFengHuang2
北京天幕新彩云影城,11060691,11060691,ManTianXing
上海海上环球港影城,31051401,,VISTA
湖州南浔星河影院,33022501,33022501,ManTianXing
横店电影城（丁桥店）,33019301,,DingXin
智新影院田家店,21130801,,ManTianXing
智新影院喀左店,21130081,,ManTianXing
智新影院敖汉店,15050991,,ManTianXing
智新影院盘山店,21130701,,ManTianXing
嘉裕国际影城（邻水店）,51128901,,DingXin
UME天津店,12100651,12100651,HuoFengHuang2
青海青剧影城,63010202,,ManTianXing
青海青剧天桥影城,63010801,,ManTianXing
宝鸡横店电影城,61031101,,DingXin
重庆合川横店电影城,50170041,,DingXin
文登横店电影城,37117011,,DingXin
石家庄西美横店电影城,13016101,20003277,DingXin
杭州下沙横店电影城,33019211,20003287,DingXin
西安开远横店电影城（沣惠）,61015101,,DingXin
双鸭山横店电影城,23070221,20003295,DingXin
安庆横店电影城,34082101,,DingXin
抚州临川星光国际影城,36100181,36100181,HuoFengHuang2
时代影城（九龙坡店）,50070111,,HuoFengHuang2
里水星影国际影城,44136301,44136301,HuoFengHuang2
漯河大商影城（千盛店）,41111601,,DingXin
武穴华夏国际影城,42062401,42062401,HuoFengHuang2
平武凯利影院,51020901,,DingXin
六安恒大影城,34131601,34131601,HuoFengHuang
阜宁富建广场影院,32083611,20003981,DingXin
沈阳碧桂园横店电影城,21010781,20003328,DingXin
上海百丽宫影城环贸iapm店,31073801,20002759,DingXin
上海百丽宫影城ifc商场店,31124701,20002824,DingXin
上海百美汇影城嘉里中心店,31030701,20002792,DingXin
达州海逸影城,51107301,,Flamingo
完美世界影城人民广场店（原17.5影城）,42101901,42101901,HuoFengHuang2
金逸影城（中山古镇店）,44113101,,VISTA
鲁信影城青岛和谐广场店,37037041,37037041,ChenXing
镁乐国际影城,14052111,,HuoFengHuang2
时代凤凰国际影城,13072401,13072401,ManTianXing
辽宁阜新横店影城,21090061,,DingXin
苏州昆山中传国际影城,32028111,32028111,HuoFengHuang2
东莞新世纪横店电影城（星城店）,44107901,,DingXin
靖江金逸泰和影城,32132711,32132711,ManTianXing
山西长平影院,14050301,,Flamingo
星美影城(太平洋院线会理店),51180201,20003299,DingXin
淮南完美世界影城瑞金店（原17.5影城）,34040601,34040601,HuoFengHuang2
集安完美世界影城庆隆店（原17.5影城）,22050701,22050701,HuoFengHuang2
芜湖恒大影城,34022601,34022601,HuoFengHuang
长春恒大影城,22113701,22113701,HuoFengHuang
上海连城国际影城,31142401,20003816,DingXin
重庆百丽宫影城天地店,50030191,20003395,DingXin
SFC上影（百联滨江店）,31092101,,HuoFengHuang
彭山伟业国际影城,51130501,,DingXin
临沂市罗庄区万润泉电影院,37080901,,ManTianXing
启程影院,15050107,20003334,DingXin
淄博沃美影城,37047051,37047051,HuoFengHuang2
大同恒大影城,14022361,14022361,HuoFengHuang
哈尔滨恒大影城,23010921,23010921,HuoFengHuang
华影国际电影城（金昌店）,62110301,,DingXin
开元国际影城,34101201,,中鑫汇科
许昌大商新玛特国际影城,41101701,,ManTianXing
汉城国际影城,42101301,20003012,DingXin
卢米埃洛阳王府井影城,41033101,,VISTA
临汾九州国际影城,14072251,20003515,DingXin
完美世界影城财富店（原17.5影城）,53031301,53031301,HuoFengHuang2
天津百丽宫影城嘉里汇店,12020671,20003353,DingXin
泗阳德信影城,32121411,,DingXin
横店电影城（北金店）,41015401,,DingXin
南京溧水横店电影城,32016711,,DingXin
兰溪横店电影城,33093601,,DingXin
横店电影城（吉林松原店）,22080801,,DingXin
梅州横店电影城,44061601,,DingXin
酒泉横店电影城,62140601,,DingXin
开县金字塔金木影城,50340401,,DingXin
陇南青影数字影院,62050201,62050201,HuoFengHuang2
家园万国电影城,42020701,,ManTianXing
完美世界影城一品店（原17.5影城）,14242131,14242131,HuoFengHuang2
金视线巨幕影院,42021301,,ManTianXing
分宜天幕国际影城,36057011,,DingXin
蔡甸区华夏世纪影城,42018601,42018601,HuoFengHuang2
西航国际影城,35013001,,HuoFengHuang2
天河欢乐汇影城,42019001,20003399,DingXin
高邮世贸星美国际影城,32062511,,Flamingo
潮州恒大影城,44040601,44040601,HuoFengHuang
吕梁恒大影院,14112381,14112381,HuoFengHuang
来安加州环球影城,34061601,34061601,HuoFengHuang2
ILM-凉都影城,52080001,,中鑫汇科
阳春市九州数字影院,44140301,,ManTianXing
杭州百老汇影城万象城店,33014101,20002629,DingXin
阳城星美数字影院,14061101,,HuoFengHuang2
盱眙横店电影城,32092311,,DingXin
胶州横店电影城,37037061,,DingXin
海门世纪联华影城,32103811,,ManTianXing
吕四和平影城,32104711,,ManTianXing
江苏蓝海-响水润生影城,32083711,,中鑫汇科
湛江完美世界影城雷州店（原17.5影城）,44151301,44151301,HuoFengHuang2
完美世界影城金茂店（原17.5影城）,13036611,13036611,HuoFengHuang2
宁高国际影城,32014701,,Flamingo
银川恒大影城,64010271,64010271,HuoFengHuang
呼和浩特恒大影城,15011111,15011111,HuoFengHuang
上海大光明同德国际影城,53252202,53252202,HuoFengHuang2
诺亚方舟影院,33022601,33022601,HuoFengHuang2
温县米高梅国际影城,41081801,,DingXin
工人文化宫数字3D影城,41051301,41051301,HuoFengHuang2
海上明珠国际影城（联洋店）,31127001,,VISTA
慈溪保利影城（财富店）,33046401,33046401,HuoFengHuang2
成都百丽宫影城恒大广场店,51019961,20003467,DingXin
成都百丽宫影城太古里店,51019981,20003432,DingXin
靖西幸福影城,45080301,45080301,ChenXing
阜新市工人文化宫,21090202,,ManTianXing
中影凤凰国际影城（大润发维华店）,37027061,37027061,ManTianXing
临沧米高梅国际影城,53090401,53090401,HuoFengHuang2
森宝国际影城,13104401,13104401,HuoFengHuang2
保利国际影城贵阳逸天城店,52012901,20003428,DingXin
延吉完美世界影城凯尔玛店（原17.5影城）,22031401,22031401,HuoFengHuang2
固始九州国际影城,41151501,,ManTianXing
西亚影城息县店,41152501,,中鑫汇科
博纳国际影城（太原亲贤街店）,14012401,,HuoFengHuang2
星洲MoviePlus影城,41072601,,HuoFengHuang2
中山艺达国际影城,44113301,,HuoFengHuang2
西宁耀莱成龙国际影城（海湖店）,63010121,20003465,DingXin
石家庄耀莱成龙国际影城（北国商城店）,13016901,20003551,DingXin
青岛耀莱成龙国际影城（黄岛店）,37037071,20003559,DingXin
华夏兄弟国际影城,61030801,,HuoFengHuang2
SFC上影（无锡东港店）,32036611,,DingXin
SFC上影（无锡硕放店）,32036411,,HuoFengHuang
盂县凯通影院,14032201,,ManTianXing
横店电影城贵州兴义店,52230401,20003445,DingXin
天幕影城（常熟裕坤美城店）,32022401,32022401,ChenXing
广宁光大电影城,44170601,20003231,DingXin
青州泰和国际影城,37067031,20003240,DingXin
佛山比高电影城（北滘店）,44136701,20003451,DingXin
松原泽艺影城,22080701,20003228,DingXin
